site,pH,Cond,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Cd,Pb
Burke,6.62,69,4180.756945,277.3428868,25.15578787,331.6490664,0.516522291,2.686782072,0.426378402,15.01603387,0.540677903,0.009539099,0.102680582
Burnett,5.47,15.2,276.932726,238.9905727,7.256133197,426.6799723,0.104981022,0.406174649,1.225706847,11.31479363,0.360650359,0.007214066,0.341359247
Burnet Tributary,5.62,16.4,306.898245,243.0318485,8.656340209,387.9173506,0.258813366,0.825615597,0.590987927,8.575189747,0.373965831,0.011778177,0.253312596
Charming,6.48,50.2,840.6448679,403.0235529,12.58451801,662.4068335,0.164992084,1.636189425,0.507003007,7.751010968,0.360906658,0.00834454,0.19624995
Chasm,6.91,70.2,1386.635693,250.1873702,12.51404583,1147.103475,0.168577162,2.307610672,0.674786153,7.329684657,0.817667902,0.031816863,0.246897355
Coal,2.71,889,38258.00393,17430.55886,1671.511084,21697.47078,86.91416949,233.7253836,8.897484471,810.2843783,0.560881468,0.51808529,0.920414002
Coalbrookedale,3.53,143.7,1573.461126,2203.64375,70.51378568,1420.390978,6.957848351,12.74052355,2.288329389,116.0390012,0.171037092,0.047423537,1.026414188
Stream X,5.58,258.8,22473.7392,241.5581676,848.7411627,827.3770947,11.55951579,22.12270733,9.76208759,83.67088865,0.492368787,0.072729233,0.130821327
Granity,3.28,270.2,2952.109703,9134.127623,183.5935429,2363.514232,15.71068663,35.25419749,8.711581662,223.5298955,1.093413144,0.213522055,1.479653591
Hot,2.34,2227,50492.0822,99299.05967,3886.958796,38390.51384,152.7515392,381.2581473,72.98560649,2077.275907,23.38681986,1.16092157,0.455403844
Italian,6.5,48.1,2333.206263,49.64168493,6.81239985,100.7977898,0.006586788,0.25346869,0.382774148,3.470554251,1.776608737,0.005321027,0.099107106
Kiwi,6.45,60.1,1543.45314,90.18847798,3.543586899,215.7475299,0.043317999,0.825847029,2.929917937,165.2128817,0.486278466,0.039077996,0.767283736
Lankey,7.33,91.9,7176.97469,130.124583,86.73836503,163.3274839,1.970252455,3.87476775,0.775706939,13.31172763,1.249091772,0.015155444,0.141206495
Miller,2.58,923,13908.12383,29194.52504,873.2317724,7410.023807,36.0184817,84.54867774,13.10320485,534.8462311,5.52834496,0.325888273,0.500347527
Mine,2.51,1285,20172.68132,51279.20976,1370.737848,10233.63873,56.75263421,136.8480133,14.95555829,844.7188646,7.938349795,0.520187716,0.165204829
Murray,7.14,73.4,4909.681915,71.41628108,9.087638096,80.50695182,0.140353195,1.138982782,0.821443511,4.855053812,3.292730739,0.021606047,0.337813259
One Horse Creek,6.85,41.8,2557.754318,715.9431615,13.39373009,473.8195168,0.370926779,1.432032073,2.875846116,17.1973229,81.57469374,0.012400159,0.414278269
Packtrack,2.54,982,11789.13091,21622.614,851.8220262,7753.295629,35.00826295,80.72901312,13.06339162,510.6876569,6.977772652,0.26946915,0.482649953
Portal,1.89,2183,38487.11785,86243.46165,3058.337455,23049.68558,123.6783694,305.1111566,106.1663647,1706.773109,10.94413125,0.947223991,0.869321529
Sullivan East,4.8,19,248.1820451,147.6028398,1.164287676,231.1507948,0.039830039,0.216370894,0.260234894,5.082801364,0.243167254,0.010003347,0.198927501
Sullivan West,2.69,687,5835.234616,11258.77092,312.1807567,15144.03751,33.53784498,66.64659128,8.220450615,397.432141,3.792536488,0.120192082,0.836094028
Warne,3.54,318.2,2776.169504,5293.476701,174.7011611,1664.265626,3.98128339,12.7244354,1.291932733,119.5406287,0.339868726,0.080360503,0.262897457
Stream Y,3.29,1607,156489.3967,9685.699831,13066.81298,14580.83474,322.3270773,489.556255,11.5821747,1364.531233,1.191523872,0.825364854,2.387142337
Cannel,3.71,196.8,3449.870175,2619.83697,72.87136774,1799.726773,3.118379988,8.573042664,1.379341195,39.17592473,0.179506707,0.025592831,0.21122784
Coorang,6.41,31.4,1186.984241,291.7694728,4.982351763,321.1824153,0.110224428,0.507170479,0.571029575,1.726563234,3.412422419,0.006093061,0.181728793
